=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 17:01:49 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_L
0, 0 0, 0, 
69307, 0, 0, 
69309, 0, 0, 
69311, 0, 0, 
69313, 0, 1, , 0, 0, 
69299, 0, 0, 
69301, 0, 0, 
69303, 0, 0, 
69305, 0, 0, 
69307, 0, 0, 
69309, 0, 0, 
69311, 0, 0, 
69313, 0, 1,  0, 0, 
69299, 0, 0, 
69301, 0, 0, 
69303, 0, 0, 
69305, 0, 0, 
69307, 0, 0, 
69309, 0, 0, 
69311, 0, 0, 
69313, 0, 1, 
Time, Trap_L, Pec_L
0, 10404, 8464, 
2, 8836, 3249, 
4, 625, 169, 
6, 144, 100, 
8, 64, 441, 
10, 1024, 36, 
12, 256, 36, 
14, 9, 64, 
16, 900, 9, 
18, 361, 16, 
20, 100, 9, 
22, 169, 225, 
24, 144, 4, 
26, 7225, 9, 
28, 625, 484, 
30, 6084, 484, 
32, 2025, 225, 
34, 1, 784, 
36, 49, 100, 
38, 361, 121, 
40, 361, 361, 
43, 64, 25, 
46, 4, 49, 
48, 196, 49, 
50, 0, 1, 
52, 36, 64, 
54, 4, 0, 
56, 16, 36, 
58, 49, 25, 
60, 1, 1, 
62, 49, 25, 
64, 4, 4, 
66, 16, 4, 
68, 16, 1, 
70, 9, 1, 
72, 169, 0, 
74, 25, 9, 
76, 0, 4, 
78, 529, 16, 
80, 400, 49, 
82, 100, 0, 
84, 225, 0, 
87, 1089, 100, 
89, 289, 36, 
91, 361, 9, 
93, 6084, 49, 
95, 196, 144, 
97, 2209, 25, 
99, 361, 49, 
101, 361, 144, 
103, 529, 1, 
105, 225, 81, 
107, 361, 64, 
109, 900, 36, 
111, 4, 16, 
113, 256, 0, 
115, 9, 4, 
117, 64, 4, 
119, 0, 0, 
121, 25, 9, 
124, 64, 1, 
126, 169, 1, 
129, 9, 4, 
131, 25, 1, 
133, 16, 4, 
135, 0, 9, 
137, 4, 1, 
139, 25, 0, 
141, 4, 1, 
143, 169, 0, 
145, 0, 9, 
147, 2116, 16, 
149, 1444, 196, 
151, 484, 9, 
153, 169, 0, 
155, 1764, 9, 
157, 1444, 9, 
159, 361, 144, 
161, 8464, 64, 
163, 2500, 676, 
165, 1444, 64, 
167, 196, 100, 
169, 36, 121, 
172, 9, 9, 
174, 0, 64, 
176, 4, 64, 
178, 100, 4, 
180, 169, 64, 
182, 9, 0, 
184, 676, 100, 
186, 0, 9, 
188, 1, 36, 
190, 4, 64, 
192, 9, 0, 
194, 9, 25, 
196, 36, 9, 
198, 841, 1, 
200, 36, 100, 
202, 17424, 256, 
204, 3481, 1225, 
206, 4900, 169, 
208, 16, 324, 
210, 100, 529, 
214, 0, 49, 
216, 25, 225, 
218, 289, 256, 
220, 25, 0, 
222, 289, 81, 
224, 4, 100, 
226, 49, 49, 
228, 64, 121, 
230, 121, 4, 
232, 9, 121, 
234, 9, 49, 
236, 256, 36, 
238, 0, 9, 
240, 0, 0, 
242, 841, 100, 
244, 1, 9, 
246, 196, 64, 
248, 0, 9, 
250, 64, 16, 
252, 25, 25, 
254, 1764, 0, 
257, 1156, 25, 
259, 2601, 4, 
261, 441, 144, 
263, 2500, 16, 
265, 121, 144, 
267, 256, 64, 
269, 81, 16, 
271, 4, 16, 
273, 625, 1, 
275, 1, 0, 
277, 100, 9, 
279, 100, 1, 
281, 1, 0, 
283, 9, 0, 
285, 100, 9, 
287, 64, 4, 
289, 0, 0, 
291, 49, 0, 
293, 4, 0, 
295, 36, 1, 
297, 25, 1, 
300, 36, 1, 
303, 324, 0, 
305, 81, 25, 
307, 289, 1, 
309, 196, 16, 
311, 25, 1, 
313, 9, 4, 
315, 144, 0, 
317, 1, 1, 
319, 4, 16, 
321, 0, 9, 
323, 0, 4, 
325, 9, 16, 
327, 169, 4, 
329, 3025, 121, 
331, 289, 36, 
333, 1849, 169, 
335, 100, 1, 
337, 121, 81, 
339, 16, 100, 
342, 1, 4, 
344, 225, 25, 
346, 196, 81, 
348, 1, 1, 
350, 16, 4, 
352, 16, 9, 
354, 0, 1, 
356, 4, 16, 
358, 100, 1, 
360, 25, 25, 
362, 324, 9, 
364, 16, 16, 
366, 3721, 100, 
368, 9801, 441, 
370, 169, 144, 
372, 3136, 81, 
374, 144, 9, 
376, 361, 100, 
378, 64, 16, 
380, 1444, 9, 
382, 1, 256, 
385, 0, 64, 
387, 81, 9, 
389, 361, 64, 
392, 0, 64, 
394, 16, 4, 
396, 49, 36, 
398, 25, 4, 
400, 0, 9, 
402, 25, 4, 
404, 64, 1, 
406, 49, 1, 
408, 81, 0, 
410, 1, 0, 
412, 4, 0, 
414, 49, 1, 
416, 64, 0, 
418, 9, 9, 
420, 1, 4, 
422, 0, 1, 
424, 1, 16, 
427, 9, 0, 
429, 1, 0, 
431, 16, 0, 
433, 196, 0, 
435, 1, 1, 
437, 3481, 36, 
439, 25, 121, 
441, 2209, 100, 
443, 225, 49, 
445, 64, 121, 
447, 16, 25, 
449, 64, 9, 
451, 9, 100, 
453, 36, 4, 
455, 1, 25, 
457, 36, 16, 
459, 49, 4, 
461, 1, 9, 
463, 225, 1, 
465, 1, 0, 
467, 36, 1, 
470, 289, 0, 
472, 361, 49, 
475, 121, 1, 
477, 9, 49, 
479, 64, 16, 
481, 4, 16, 
483, 16, 9, 
485, 9, 9, 
487, 1, 9, 
489, 4, 1, 
491, 0, 0, 
493, 0, 4, 
495, 9, 4, 
497, 64, 0, 
499, 81, 0, 
501, 64, 0, 
503, 25, 0, 
505, 4, 0, 
507, 25, 1, 
509, 25, 9, 
512, 4, 4, 
514, 1089, 16, 
516, 2500, 121, 
518, 144, 16, 
520, 841, 81, 
522, 196, 1, 
524, 4, 49, 
526, 1, 36, 
528, 16, 4, 
530, 16, 49, 
532, 25, 36, 
534, 4, 0, 
536, 9, 36, 
538, 16, 1, 
