=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 16:52:51 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_R
0,  0, 
42374, 0, 0, 
42376, 0, 0, 
0, 0, 
42361, 0, 0, 
42363, 0, 1, 
42365, 0, 0, 
42368, 0, 1, 
42370, 1, 0, 
42372, 0, 0, 
42374, 0, 0, 
42376, 0, 0, 
42378 0
Time, Trap_L, Pec_R
0, 10201, 8100, 
2, 8649, 2916, 
4, 441, 169, 
6, 121, 121, 
8, 289, 361, 
10, 289, 144, 
12, 0, 81, 
14, 121, 100, 
16, 64, 4, 
18, 4, 49, 
20, 36, 4, 
22, 0, 9, 
24, 49, 49, 
26, 16, 1, 
28, 4, 25, 
30, 16, 4, 
32, 0, 4, 
34, 9, 1, 
36, 1, 1, 
38, 1, 16, 
41, 9, 1, 
44, 0, 4, 
46, 4, 1, 
48, 0, 0, 
50, 0, 4, 
52, 1, 1, 
54, 0, 9, 
56, 0, 1, 
58, 1, 1, 
60, 0, 1, 
62, 9, 0, 
64, 1, 1, 
66, 4, 1, 
68, 1, 0, 
70, 0, 0, 
72, 0, 0, 
74, 0, 0, 
76, 0, 0, 
78, 0, 0, 
80, 1, 0, 
82, 0, 0, 
84, 0, 0, 
87, 0, 0, 
89, 0, 0, 
91, 0, 0, 
94, 1, 0, 
96, 1, 0, 
98, 0, 0, 
100, 1, 0, 
102, 1, 0, 
104, 4, 0, 
106, 1, 0, 
108, 0, 0, 
110, 0, 0, 
112, 0, 0, 
114, 0, 0, 
116, 0, 0, 
118, 0, 1, 
120, 0, 1, 
122, 0, 1, 
124, 0, 1, 
126, 0, 1, 
129, 0, 0, 
131, 1, 0, 
133, 0, 0, 
135, 0, 0, 
137, 0, 0, 
139, 0, 0, 
141, 0, 1, 
143, 0, 1, 
145, 0, 0, 
147, 0, 4, 
149, 1, 1, 
151, 0, 0, 
153, 0, 0, 
155, 0, 1, 
157, 0, 1, 
159, 0, 0, 
161, 0, 0, 
163, 0, 0, 
166, 0, 0, 
168, 0, 0, 
171, 0, 0, 
173, 0, 0, 
175, 0, 0, 
177, 0, 0, 
179, 0, 0, 
181, 0, 0, 
183, 0, 0, 
185, 0, 0, 
187, 0, 1, 
189, 0, 0, 
191, 1, 1, 
193, 0, 9, 
195, 0, 0, 
197, 0, 0, 
199, 0, 0, 
201, 0, 0, 
203, 0, 0, 
205, 0, 0, 
207, 0, 0, 
209, 0, 0, 
211, 0, 0, 
214, 0, 0, 
216, 0, 0, 
218, 0, 1, 
220, 0, 1, 
222, 0, 4, 
224, 0, 16, 
226, 0, 1, 
228, 0, 0, 
230, 0, 0, 
232, 0, 0, 
234, 0, 0, 
236, 0, 0, 
238, 0, 0, 
240, 0, 1, 
242, 0, 0, 
245, 0, 0, 
247, 0, 0, 
249, 0, 1, 
251, 0, 0, 
253, 0, 0, 
256, 0, 0, 
258, 0, 0, 
260, 0, 0, 
262, 0, 0, 
264, 0, 1, 
266, 0, 1, 
268, 0, 1, 
270, 0, 0, 
272, 1, 4, 
274, 0, 1, 
276, 1, 0, 
278, 0, 0, 
280, 0, 0, 
282, 0, 0, 
284, 1, 0, 
286, 0, 0, 
288, 0, 0, 
290, 0, 0, 
292, 1, 0, 
294, 0, 0, 
296, 0, 0, 
299, 0, 0, 
301, 0, 0, 
303, 0, 0, 
305, 0, 0, 
307, 0, 0, 
309, 0, 0, 
311, 0, 0, 
313, 0, 1, 
315, 0, 1, 
317, 0, 0, 
319, 0, 0, 
321, 0, 0, 
324, 0, 1, 
326, 0, 0, 
328, 0, 0, 
330, 0, 0, 
332, 0, 0, 
334, 0, 0, 
336, 0, 0, 
338, 0, 0, 
340, 1, 1, 
343, 1, 0, 
345, 0, 1, 
347, 0, 4, 
349, 0, 1, 
351, 0, 0, 
353, 1, 0, 
355, 0, 0, 
357, 0, 1, 
359, 0, 0, 
361, 0, 0, 
363, 0, 0, 
365, 0, 0, 
367, 0, 0, 
369, 0, 0, 
371, 0, 0, 
373, 0, 0, 
375, 0, 0, 
377, 0, 0, 
379, 0, 1, 
381, 0, 1, 
384, 0, 0, 
386, 0, 0, 
388, 0, 0, 
390, 0, 1, 
392, 0, 0, 
394, 0, 0, 
396, 0, 0, 
398, 0, 1, 
400, 0, 9, 
403, 0, 9, 
405, 0, 1, 
407, 0, 0, 
409, 0, 0, 
411, 1, 0, 
413, 0, 0, 
415, 0, 0, 
417, 0, 0, 
419, 0, 1, 
421, 0, 1, 
423, 0, 0, 
425, 0, 0, 
428, 0, 0, 
430, 0, 0, 
432, 0, 0, 
434, 0, 0, 
436, 0, 1, 
438, 0, 1, 
440, 0, 0, 
442, 0, 0, 
444, 0, 0, 
446, 0, 0, 
448, 0, 4, 
450, 0, 4, 
452, 0, 0, 
454, 0, 0, 
456, 0, 0, 
458, 0, 0, 
460, 0, 0, 
462, 0, 0, 
464, 0, 0, 
466, 0, 0, 
468, 0, 1, 
471, 0, 4, 
473, 0, 1, 
476, 0, 1, 
478, 0, 0, 
480, 0, 0, 
482, 0, 1, 
484, 0, 0, 
486, 0, 0, 
488, 0, 0, 
490, 0, 0, 
492, 0, 0, 
494, 0, 0, 
496, 0, 0, 
498, 0, 0, 
500, 0, 0, 
502, 0, 0, 
504, 0, 0, 
506, 0, 1, 
508, 0, 1, 
510, 0, 0, 
513, 0, 0, 
515, 0, 1, 
517, 0, 1, 
519, 1, 0, 
521, 0, 0, 
523, 0, 0, 
525, 0, 0, 
527, 0, 0, 
529, 0, 1, 
531, 0, 1, 
533, 0, 1, 
535, 0, 4, 
537, 0, 0, 
539, 0, 1, 
541, 0, 1, 
543, 0, 0, 
545, 0, 0, 
547, 0, 0, 
549, 0, 0, 
551, 0, 0, 
553, 1, 0, 
557, 0, 0, 
559, 1, 0, 
561, 0, 0, 
563, 1, 0, 
565, 0, 1, 
567, 4, 4, 
569, 0, 0, 
571, 0, 1, 
573, 0, 4, 
575, 0, 1, 
577, 0, 0, 
579, 0, 0, 
581, 0, 0, 
583, 0, 0, 
585, 0, 1, 
587, 1, 1, 
589, 0, 0, 
591, 0, 0, 
593, 0, 0, 
595, 0, 1, 
598, 0, 1, 
600, 0, 0, 
602, 0, 0, 
604, 1, 0, 
606, 0, 1, 
608, 0, 0, 
610, 0, 0, 
612, 0, 0, 
614, 0, 1, 
616, 0, 1, 
618, 0, 0, 
620, 0, 1, 
622, 1, 0, 
624, 0, 0, 
626, 0, 0, 
628, 0, 0, 
630, 0, 0, 
633, 0, 0, 
635, 0, 0, 
637, 0, 0, 
640, 0, 0, 
642, 0, 0, 
644, 0, 1, 
646, 0, 0, 
648, 0, 0, 
650, 0, 0, 
652, 0, 0, 
654, 0, 1, 
656, 0, 1, 
658, 0, 1, 
660, 0, 1, 
662, 0, 0, 
664, 0, 0, 
666, 0, 0, 
668, 1, 0, 
670, 0, 0, 
672, 4, 0, 
674, 4, 0, 
676, 0, 1, 
678, 1, 1, 
680, 1, 0, 
683, 0, 0, 
685, 0, 1, 
687, 0, 1, 
689, 0, 0, 
691, 1, 0, 
693, 1, 0, 
695, 0, 0, 
697, 0, 4, 
699, 0, 16, 
701, 0, 4, 
703, 0, 0, 
705, 0, 0, 
707, 0, 0, 
710, 0, 1, 
712, 0, 1, 
714, 0, 1, 
716, 0, 0, 
718, 0, 0, 
720, 0, 0, 
722, 0, 1, 
724, 0, 1, 
727, 0, 4, 
729, 0, 0, 
731, 0, 1, 
733, 0, 0, 
735, 0, 0, 
737, 0, 0, 
739, 0, 0, 
741, 0, 0, 
743, 0, 0, 
745, 0, 0, 
747, 0, 0, 
749, 0, 0, 
751, 0, 0, 
753, 0, 0, 
755, 0, 0, 
757, 0, 0, 
759, 0, 0, 
761, 0, 0, 
763, 0, 0, 
765, 0, 0, 
768, 0, 0, 
770, 0, 0, 
772, 0, 0, 
774, 0, 0, 
776, 0, 0, 
778, 1, 0, 
780, 0, 0, 
783, 0, 0, 
785, 4, 0, 
787, 1, 0, 
789, 4, 0, 
791, 0, 1, 
793, 0, 0, 
795, 0, 0, 
797, 0, 1, 
799, 0, 0, 
801, 0, 0, 
803, 0, 0, 
805, 0, 0, 
807, 0, 1, 
809, 0, 0, 
812, 0, 0, 
814, 0, 0, 
816, 0, 0, 
818, 0, 0, 
820, 0, 0, 
822, 0, 0, 
824, 0, 0, 
826, 0, 0, 
828, 0, 0, 
830, 0, 0, 
832, 0, 0, 
834, 0, 0, 
836, 0, 0, 
838, 0, 0, 
840, 16, 0, 
842, 81, 1, 
844, 9, 1, 
846, 9, 1, 
848, 36, 0, 
850, 16, 0, 
852, 9, 4, 
855, 9, 0, 
857, 25, 1, 
860, 36, 9, 
862, 9, 1, 
864, 1, 1, 
866, 9, 0, 
868, 49, 1, 
870, 4, 9, 
872, 16, 1, 
874, 64, 1, 
876, 4, 16, 
878, 36, 4, 
880, 9, 9, 
882, 1, 1, 
884, 1, 9, 
886, 0, 1, 
888, 1, 1, 
890, 9, 1, 
892, 1, 0, 
894, 0, 4, 
897, 4, 0, 
899, 25, 0, 
901, 225, 1, 
903, 81, 0, 
905, 100, 9, 
907, 196, 1, 
909, 0, 16, 
911, 81, 9, 
913, 0, 1, 
915, 9, 4, 
917, 0, 4, 
919, 9, 4, 
921, 4, 9, 
