Intensity,Duration,ID
102,206,1
444,291,1
902,206,1
902,206,1
100,202,1
402,206,1
138,279,1
102,205,1
132,266,1
102,206,1
403,208,1
102,206,1
400,201,1
402,206,1
1632,254,1
102,206,1
2106,319,1
1013,266,1
116,235,1
121,244,1
408,218,1
102,206,1
14599,728,2
103079,614,2
160605,747,2
224739,734,2
61958,746,2
257890,785,2
98398,680,2
88919,565,2
56657,553,2
82078,603,2
110571,450,2
57260,591,2
12265,464,2
83053,549,2
27097,433,2
2245,451,2
16976,464,2
56141,505,2
5674,472,2
8971,476,2
16584,506,2
88899,525,2
149291,576,2
171505,644,2
26134,652,2
121241,779,2
59113,660,2
98866,623,2
637,667,3
596,597,3
2751,799,3
761,398,3
102,206,3
100,201,3
100,202,3
131,265,3
100,201,3
100,201,3
100,201,3
1075,522,3
353,712,3
168,339,3
180,364,3
100,202,3
409,220,3
100,202,3
212,428,3
100,202,3
226133,1544,4
368588,1425,4
522839,1767,4
274745,1456,4
432180,1521,4
351245,1414,4
433382,1650,4
451721,1345,4
543799,1586,4
393231,1356,4
262941,1230,4
475839,1316,4
311439,1450,4
98704,1396,4
417188,1414,4
